responseTime,prolificID,userID,questionNum,response,loadTime,questionID,selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,UID,selectedLabel,error,absError,correct,anchor,alignment
7.316,67f000f4c3fca3956857de3c,22,13.0,44,2025-04-22 18:27:49.519,2030.0,41,aligned,far-anchor,9,0,1,50,9,pie,22,F,3.0,3.0,False,non-anchor,aligned
12.294,62a6c39ce82d993784c0b352,24,36.0,30,2025-04-22 18:27:45.769,2245.0,34,aligned,far-anchor,9,0,1,50,16,line,24,A,-4.0,4.0,False,non-anchor,aligned
8.61,67e47d34f5a37200bfd58c77,10,63.0,52,2025-04-22 18:27:52.009,928.0,53,far-from-aligned,far-anchor,3,10,2,75,12,line,10,G,-1.0,1.0,False,non-anchor,unaligned
4.821,674b3b45f390921a88f24747,20,88.0,30,2025-04-22 18:27:56.182,1913.0,28,far-from-aligned,near-anchor,3,5,2,75,42,line,20,G,2.0,2.0,False,non-anchor,unaligned
5.535,62a6c39ce82d993784c0b352,24,37.0,55,2025-04-22 18:27:58.158,2246.0,55,aligned,far-anchor,5,0,0,100,45,pie,24,F,0.0,0.0,True,non-anchor,aligned
4.014,674b3b45f390921a88f24747,20,89.0,50,2025-04-22 18:28:01.052,1914.0,50,near-aligned,anchor,0,2,0,50 and 100,48,pie,20,F,0.0,0.0,True,anchor,unaligned
8.825,67f000f4c3fca3956857de3c,22,14.0,54,2025-04-22 18:27:57.266,2031.0,45,near-aligned,far-anchor,5,3,0,50,8,pie,22,C,9.0,9.0,False,non-anchor,unaligned
5.927,67e47d34f5a37200bfd58c77,10,64.0,50,2025-04-22 18:28:00.938,929.0,53,far-from-aligned,far-anchor,3,11,2,0 and 75,11,line,10,C,-3.0,3.0,False,non-anchor,unaligned
3.432,62a6c39ce82d993784c0b352,24,38.0,30,2025-04-22 18:28:03.803,2247.0,22,near-aligned,near-anchor,3,2,2,25,23,pie,24,C,8.0,8.0,False,non-anchor,unaligned
3.751,674b3b45f390921a88f24747,20,90.0,50,2025-04-22 18:28:05.113,1915.0,50,aligned,anchor,0,0,0,0 and 50,0,line,20,F,0.0,0.0,True,anchor,aligned
4.033,67f000f4c3fca3956857de3c,22,15.0,40,2025-04-22 18:28:06.500,2032.0,15,far-from-aligned,far-anchor,10,7,0,75,68,pie,22,C,25.0,25.0,False,non-anchor,unaligned
3.793,62a6c39ce82d993784c0b352,24,39.0,60,2025-04-22 18:28:07.315,2248.0,54,far-from-aligned,far-anchor,4,8,1,0,8,line,24,A,6.0,6.0,False,non-anchor,unaligned
23.18,67d5b16b8a04206523e7deef,21,38.0,25,2025-04-22 18:27:49.527,1959.0,37,far-from-aligned,far-anchor,12,5,2,75,33,pie,21,F,-12.0,12.0,False,non-anchor,unaligned
4.731,674b3b45f390921a88f24747,20,91.0,25,2025-04-22 18:28:08.907,1916.0,26,far-from-aligned,near-anchor,1,6,1,25,31,pie,20,F,-1.0,1.0,False,non-anchor,unaligned
5.677,67f000f4c3fca3956857de3c,22,16.0,56,2025-04-22 18:28:10.923,2033.0,55,far-from-aligned,far-anchor,5,8,0,100,37,pie,22,G,1.0,1.0,False,non-anchor,unaligned
9.6,62a6c39ce82d993784c0b352,24,40.0,25,2025-04-22 18:28:11.187,2249.0,26,far-from-aligned,near-anchor,1,10,1,50,14,pie,24,E,-1.0,1.0,False,non-anchor,unaligned
14.507,67e47d34f5a37200bfd58c77,10,65.0,37,2025-04-22 18:28:07.180,930.0,40,near-aligned,far-anchor,10,4,0,25,21,line,10,A,-3.0,3.0,False,non-anchor,unaligned
6.107,67f000f4c3fca3956857de3c,22,17.0,19,2025-04-22 18:28:17.042,2034.0,49,far-from-aligned,near-anchor,1,11,1,50,39,line,22,B,-30.0,30.0,False,non-anchor,unaligned
4.216,62a6c39ce82d993784c0b352,24,41.0,10,2025-04-22 18:28:20.883,2250.0,16,near-aligned,far-anchor,9,4,1,25,21,line,24,G,-6.0,6.0,False,non-anchor,unaligned
11.577,674b3b45f390921a88f24747,20,92.0,46,2025-04-22 18:28:13.698,1917.0,44,aligned,far-anchor,6,0,1,0,0,line,20,F,2.0,2.0,False,non-anchor,aligned
4.041,62a6c39ce82d993784c0b352,24,42.0,48,2025-04-22 18:28:25.228,2251.0,47,near-aligned,near-anchor,3,1,2,50,2,pie,24,C,1.0,1.0,False,non-anchor,unaligned
8.259,67f000f4c3fca3956857de3c,22,18.0,36,2025-04-22 18:28:23.515,2035.0,28,far-from-aligned,near-anchor,3,6,2,0,6,pie,22,F,8.0,8.0,False,non-anchor,unaligned
4.185,62a6c39ce82d993784c0b352,24,43.0,46,2025-04-22 18:28:29.351,2252.0,46,far-from-aligned,near-anchor,4,8,1,25,17,pie,24,B,0.0,0.0,True,non-anchor,unaligned
9.418,674b3b45f390921a88f24747,20,93.0,23,2025-04-22 18:28:25.320,1918.0,21,near-aligned,near-anchor,4,3,1,25,22,pie,20,D,2.0,2.0,False,non-anchor,unaligned
4.65,67f000f4c3fca3956857de3c,22,19.0,45,2025-04-22 18:28:32.142,2036.0,19,far-from-aligned,far-anchor,6,7,1,75,63,line,22,F,26.0,26.0,False,non-anchor,unaligned
3.26,62a6c39ce82d993784c0b352,24,44.0,55,2025-04-22 18:28:33.619,2253.0,46,aligned,near-anchor,4,0,1,25,25,line,24,D,9.0,9.0,False,non-anchor,aligned
5.664,674b3b45f390921a88f24747,20,94.0,53,2025-04-22 18:28:34.790,1919.0,53,aligned,far-anchor,3,0,2,75,22,line,20,F,0.0,0.0,True,non-anchor,aligned
3.66,62a6c39ce82d993784c0b352,24,45.0,60,2025-04-22 18:28:37.008,2254.0,52,near-aligned,far-anchor,2,2,2,75,21,pie,24,E,8.0,8.0,False,non-anchor,unaligned
4.026,67f000f4c3fca3956857de3c,22,20.0,56,2025-04-22 18:28:37.219,2037.0,53,far-from-aligned,far-anchor,3,10,2,0,10,line,22,D,3.0,3.0,False,non-anchor,unaligned
2.688,62a6c39ce82d993784c0b352,24,46.0,50,2025-04-22 18:28:40.746,2255.0,48,near-aligned,near-anchor,2,1,2,25,24,line,24,D,2.0,2.0,False,non-anchor,unaligned
3.901,67f000f4c3fca3956857de3c,22,21.0,45,2025-04-22 18:28:41.719,2038.0,15,near-aligned,far-anchor,10,2,0,75,58,line,22,B,30.0,30.0,False,non-anchor,unaligned
3.295,62a6c39ce82d993784c0b352,24,47.0,16,2025-04-22 18:28:43.520,2256.0,20,far-from-aligned,far-anchor,5,7,0,25,12,line,24,F,-4.0,4.0,False,non-anchor,unaligned
9.045,674b3b45f390921a88f24747,20,95.0,37,2025-04-22 18:28:40.503,1920.0,37,near-aligned,far-anchor,12,2,2,50,11,line,20,G,0.0,0.0,True,non-anchor,unaligned
2.518,62a6c39ce82d993784c0b352,24,48.0,25,2025-04-22 18:28:47.933,2257.0,28,aligned,near-anchor,3,0,2,0,0,line,24,A,-3.0,3.0,False,non-anchor,aligned
5.14,67f000f4c3fca3956857de3c,22,22.0,50,2025-04-22 18:28:46.107,2039.0,23,near-aligned,near-anchor,2,3,2,25,22,line,22,D,27.0,27.0,False,non-anchor,unaligned
13.532,67d4980ba4b5003b2e2797d6,23,0.0,41,2025-04-22 18:28:38.802,2113.0,47,near-aligned,near-anchor,3,1,2,25,24,line,23,C,-6.0,6.0,False,non-anchor,unaligned
2.641,62a6c39ce82d993784c0b352,24,49.0,55,2025-04-22 18:28:50.700,2258.0,50,far-from-aligned,anchor,0,8,0,0 and 50,8,line,24,F,5.0,5.0,False,anchor,unaligned
2.759,62a6c39ce82d993784c0b352,24,50.0,60,2025-04-22 18:28:53.451,2259.0,54,near-aligned,far-anchor,4,3,1,75,18,pie,24,F,6.0,6.0,False,non-anchor,unaligned
4.825,67f000f4c3fca3956857de3c,22,23.0,56,2025-04-22 18:28:51.610,2040.0,54,near-aligned,far-anchor,4,3,1,25,28,pie,22,A,2.0,2.0,False,non-anchor,unaligned
2.804,62a6c39ce82d993784c0b352,24,51.0,12,2025-04-22 18:28:56.298,2260.0,15,aligned,far-anchor,10,0,0,75,75,line,24,G,-3.0,3.0,False,non-anchor,aligned
37.508,67e47d34f5a37200bfd58c77,10,66.0,20,2025-04-22 18:28:22.009,931.0,20,aligned,far-anchor,5,0,0,100,80,line,10,G,0.0,0.0,True,non-anchor,aligned
48.761,67d5b16b8a04206523e7deef,21,39.0,35,2025-04-22 18:28:13.142,1960.0,29,aligned,near-anchor,4,0,1,100,71,pie,21,A,6.0,6.0,False,non-anchor,aligned
2.759,62a6c39ce82d993784c0b352,24,52.0,30,2025-04-22 18:28:59.185,2261.0,30,far-from-aligned,far-anchor,5,9,0,100,61,pie,24,G,0.0,0.0,True,non-anchor,unaligned
11.537,67d4980ba4b5003b2e2797d6,23,1.0,50,2025-04-22 18:28:52.795,2114.0,21,far-from-aligned,near-anchor,4,10,1,50,39,pie,23,F,29.0,29.0,False,non-anchor,unaligned
5.273,67e47d34f5a37200bfd58c77,10,67.0,50,2025-04-22 18:28:59.841,932.0,47,far-from-aligned,near-anchor,3,8,2,50,11,line,10,F,3.0,3.0,False,non-anchor,unaligned
3.563,62a6c39ce82d993784c0b352,24,53.0,28,2025-04-22 18:29:02.055,2262.0,33,near-aligned,far-anchor,8,3,2,75,39,pie,24,F,-5.0,5.0,False,non-anchor,unaligned
2.801,62a6c39ce82d993784c0b352,24,54.0,12,2025-04-22 18:29:05.703,2263.0,18,far-from-aligned,far-anchor,7,6,2,75,63,pie,24,C,-6.0,6.0,False,non-anchor,unaligned
2.633,62a6c39ce82d993784c0b352,24,55.0,10,2025-04-22 18:29:08.581,2264.0,15,near-aligned,far-anchor,10,1,0,100,84,pie,24,B,-5.0,5.0,False,non-anchor,unaligned
2.645,62a6c39ce82d993784c0b352,24,56.0,14,2025-04-22 18:29:11.287,2265.0,21,near-aligned,near-anchor,4,2,1,50,48,pie,24,A,-7.0,7.0,False,non-anchor,unaligned
8.741,67e47d34f5a37200bfd58c77,10,68.0,30,2025-04-22 18:29:05.413,933.0,24,far-from-aligned,near-anchor,1,7,1,25,18,pie,10,E,6.0,6.0,False,non-anchor,unaligned
11.541,67d4980ba4b5003b2e2797d6,23,2.0,21,2025-04-22 18:29:04.779,2115.0,33,near-aligned,far-anchor,8,1,2,100,66,line,23,E,-12.0,12.0,False,non-anchor,unaligned
3.368,62a6c39ce82d993784c0b352,24,57.0,60,2025-04-22 18:29:14.020,2266.0,55,near-aligned,far-anchor,5,4,0,25,29,line,24,D,5.0,5.0,False,non-anchor,unaligned
2.386,62a6c39ce82d993784c0b352,24,58.0,12,2025-04-22 18:29:17.538,2267.0,18,aligned,far-anchor,7,0,2,100,82,line,24,F,-6.0,6.0,False,non-anchor,aligned
6.171,67e47d34f5a37200bfd58c77,10,69.0,25,2025-04-22 18:29:14.443,934.0,23,near-aligned,near-anchor,2,3,2,50,30,pie,10,F,2.0,2.0,False,non-anchor,unaligned
18.628,67d5b16b8a04206523e7deef,21,40.0,29,2025-04-22 18:29:02.340,1961.0,16,near-aligned,far-anchor,9,3,1,50,31,pie,21,G,13.0,13.0,False,non-anchor,unaligned
7.379,67f000f4c3fca3956857de3c,22,24.0,45,2025-04-22 18:29:15.034,2041.0,50,far-from-aligned,anchor,0,7,0,25 and 75,18,line,22,C,-5.0,5.0,False,anchor,unaligned
3.2,62a6c39ce82d993784c0b352,24,59.0,48,2025-04-22 18:29:20.050,2268.0,46,aligned,near-anchor,4,0,1,50,4,pie,24,G,2.0,2.0,False,non-anchor,aligned
5.103,67e47d34f5a37200bfd58c77,10,70.0,50,2025-04-22 18:29:20.937,935.0,50,aligned,anchor,0,0,0,25 and 75,25,pie,10,F,0.0,0.0,True,anchor,aligned
3.579,67f000f4c3fca3956857de3c,22,25.0,38,2025-04-22 18:29:22.780,2042.0,22,aligned,near-anchor,3,0,2,75,53,pie,22,B,16.0,16.0,False,non-anchor,aligned
11.888,67d4980ba4b5003b2e2797d6,23,3.0,50,2025-04-22 18:29:16.763,2116.0,25,far-from-aligned,anchor,0,12,0,0 and 25,12,pie,23,C,25.0,25.0,False,anchor,unaligned
3.589,67f000f4c3fca3956857de3c,22,26.0,54,2025-04-22 18:29:26.764,2043.0,33,aligned,far-anchor,8,0,2,50,17,line,22,F,21.0,21.0,False,non-anchor,aligned
8.357,67e47d34f5a37200bfd58c77,10,71.0,34,2025-04-22 18:29:26.367,936.0,31,near-aligned,far-anchor,6,1,1,25,24,pie,10,G,3.0,3.0,False,non-anchor,unaligned
4.355,67f000f4c3fca3956857de3c,22,27.0,44,2025-04-22 18:29:30.706,2044.0,26,aligned,near-anchor,1,0,1,50,50,pie,22,G,18.0,18.0,False,non-anchor,aligned
4.641,62a6c39ce82d993784c0b352,24,60.0,20,2025-04-22 18:29:33.892,2269.0,23,aligned,near-anchor,2,0,2,100,77,line,24,E,-3.0,3.0,False,non-anchor,aligned
4.608,67f000f4c3fca3956857de3c,22,28.0,26,2025-04-22 18:29:35.454,2045.0,31,near-aligned,far-anchor,6,1,1,75,43,pie,22,G,-5.0,5.0,False,non-anchor,unaligned
3.126,62a6c39ce82d993784c0b352,24,61.0,18,2025-04-22 18:29:38.712,2270.0,19,near-aligned,far-anchor,6,4,1,75,71,pie,24,E,-1.0,1.0,False,non-anchor,unaligned
2.628,62a6c39ce82d993784c0b352,24,62.0,18,2025-04-22 18:29:41.951,2271.0,21,far-from-aligned,near-anchor,4,8,1,75,62,pie,24,F,-3.0,3.0,False,non-anchor,unaligned
23.946,67d5b16b8a04206523e7deef,21,41.0,19,2025-04-22 18:29:21.343,1962.0,46,far-from-aligned,near-anchor,4,9,1,50,13,line,21,E,-27.0,27.0,False,non-anchor,unaligned
16.334,67d4980ba4b5003b2e2797d6,23,4.0,40,2025-04-22 18:29:29.040,2117.0,29,near-aligned,near-anchor,4,1,1,50,49,line,23,D,11.0,11.0,False,non-anchor,unaligned
5.575,67f000f4c3fca3956857de3c,22,29.0,30,2025-04-22 18:29:40.432,2046.0,24,far-from-aligned,near-anchor,1,9,1,25,10,pie,22,A,6.0,6.0,False,non-anchor,unaligned
2.402,62a6c39ce82d993784c0b352,24,63.0,55,2025-04-22 18:29:44.676,2272.0,50,near-aligned,anchor,0,4,0,25 and 75,21,pie,24,G,5.0,5.0,False,anchor,unaligned
3.207,62a6c39ce82d993784c0b352,24,64.0,50,2025-04-22 18:29:47.231,2273.0,51,far-from-aligned,far-anchor,1,11,1,75,13,pie,24,A,-1.0,1.0,False,non-anchor,unaligned
6.068,67f000f4c3fca3956857de3c,22,30.0,37,2025-04-22 18:29:46.387,2047.0,26,aligned,near-anchor,1,0,1,25,25,line,22,G,11.0,11.0,False,non-anchor,aligned
3.115,62a6c39ce82d993784c0b352,24,65.0,48,2025-04-22 18:29:50.573,2274.0,49,far-from-aligned,near-anchor,1,9,1,50,10,line,24,E,-1.0,1.0,False,non-anchor,unaligned
9.319,67d4980ba4b5003b2e2797d6,23,5.0,25,2025-04-22 18:29:45.733,2118.0,34,far-from-aligned,far-anchor,9,6,1,50,56,line,23,C,-9.0,9.0,False,non-anchor,unaligned
2.975,62a6c39ce82d993784c0b352,24,66.0,30,2025-04-22 18:29:53.793,2275.0,26,near-aligned,near-anchor,1,1,1,25,26,pie,24,E,4.0,4.0,False,non-anchor,unaligned
5.76,67f000f4c3fca3956857de3c,22,31.0,19,2025-04-22 18:29:52.866,2048.0,23,far-from-aligned,near-anchor,2,8,2,25,17,line,22,B,-4.0,4.0,False,non-anchor,unaligned
3.07,62a6c39ce82d993784c0b352,24,67.0,28,2025-04-22 18:29:56.868,2276.0,26,aligned,near-anchor,1,0,1,75,49,line,24,G,2.0,2.0,False,non-anchor,aligned
2.653,62a6c39ce82d993784c0b352,24,68.0,25,2025-04-22 18:30:00.065,2277.0,26,aligned,near-anchor,1,0,1,50,50,line,24,D,-1.0,1.0,False,non-anchor,aligned
18.199,67d5b16b8a04206523e7deef,21,42.0,25,2025-04-22 18:29:45.680,1963.0,25,near-aligned,anchor,0,3,0,25 and 50,22,pie,21,C,0.0,0.0,True,anchor,unaligned
6.182,67f000f4c3fca3956857de3c,22,32.0,46,2025-04-22 18:29:59.024,2049.0,31,near-aligned,far-anchor,6,1,1,25,24,line,22,F,15.0,15.0,False,non-anchor,unaligned
2.458,62a6c39ce82d993784c0b352,24,69.0,50,2025-04-22 18:30:02.827,2278.0,47,near-aligned,near-anchor,3,4,2,50,7,line,24,F,3.0,3.0,False,non-anchor,unaligned
7.888,67e47d34f5a37200bfd58c77,10,72.0,40,2025-04-22 18:29:57.877,937.0,36,far-from-aligned,far-anchor,11,5,1,100,59,pie,10,C,4.0,4.0,False,non-anchor,unaligned
2.604,62a6c39ce82d993784c0b352,24,70.0,30,2025-04-22 18:30:05.384,2279.0,26,far-from-aligned,near-anchor,1,7,1,75,42,line,24,G,4.0,4.0,False,non-anchor,unaligned
15.881,67d4980ba4b5003b2e2797d6,23,6.0,75,2025-04-22 18:29:55.454,2119.0,21,far-from-aligned,near-anchor,4,9,1,75,63,line,23,C,54.0,54.0,False,non-anchor,unaligned
6.187,67e47d34f5a37200bfd58c77,10,73.0,36,2025-04-22 18:30:06.094,938.0,35,far-from-aligned,far-anchor,10,7,0,100,58,line,10,G,1.0,1.0,False,non-anchor,unaligned
4.695,62a6c39ce82d993784c0b352,24,71.0,28,2025-04-22 18:30:08.159,2280.0,31,aligned,far-anchor,6,0,1,50,50,pie,24,G,-3.0,3.0,False,non-anchor,aligned
7.776,67f000f4c3fca3956857de3c,22,33.0,34,2025-04-22 18:30:05.579,2050.0,50,near-aligned,anchor,0,2,0,50 and 100,48,pie,22,D,-16.0,16.0,False,anchor,unaligned
2.602,62a6c39ce82d993784c0b352,24,72.0,35,2025-04-22 18:30:13.868,2281.0,39,aligned,far-anchor,11,0,1,25,25,pie,24,C,-4.0,4.0,False,non-anchor,aligned
2.424,62a6c39ce82d993784c0b352,24,73.0,30,2025-04-22 18:30:16.598,2282.0,25,aligned,anchor,0,0,0,0 and 25,0,pie,24,G,5.0,5.0,False,anchor,aligned
7.271,67f000f4c3fca3956857de3c,22,34.0,56,2025-04-22 18:30:14.051,2051.0,21,near-aligned,near-anchor,4,1,1,0,1,line,22,B,35.0,35.0,False,non-anchor,unaligned
2.901,62a6c39ce82d993784c0b352,24,74.0,15,2025-04-22 18:30:19.112,2283.0,17,near-aligned,far-anchor,8,4,2,75 and 100,79,line,24,E,-2.0,2.0,False,non-anchor,unaligned
20.145,67d5b16b8a04206523e7deef,21,43.0,49,2025-04-22 18:30:04.237,1964.0,50,aligned,anchor,0,0,0,25 and 75,25,pie,21,B,-1.0,1.0,False,anchor,aligned
2.887,62a6c39ce82d993784c0b352,24,75.0,35,2025-04-22 18:30:22.151,2284.0,36,far-from-aligned,far-anchor,11,6,1,75,33,line,24,G,-1.0,1.0,False,non-anchor,unaligned
12.692,67e47d34f5a37200bfd58c77,10,74.0,26,2025-04-22 18:30:12.594,939.0,27,near-aligned,near-anchor,2,2,2,25,27,pie,10,B,-1.0,1.0,False,non-anchor,unaligned
14.487,67d4980ba4b5003b2e2797d6,23,7.0,50,2025-04-22 18:30:11.764,2120.0,50,aligned,anchor,0,0,0,25 and 75,25,pie,23,A,0.0,0.0,True,anchor,aligned
2.677,62a6c39ce82d993784c0b352,24,76.0,35,2025-04-22 18:30:25.133,2285.0,35,near-aligned,far-anchor,10,2,0,75,38,pie,24,D,0.0,0.0,True,non-anchor,unaligned
6.023,67f000f4c3fca3956857de3c,22,35.0,36,2025-04-22 18:30:22.188,2052.0,29,aligned,near-anchor,4,0,1,50,21,line,22,A,7.0,7.0,False,non-anchor,aligned
3.546,62a6c39ce82d993784c0b352,24,77.0,20,2025-04-22 18:30:27.932,2286.0,20,aligned,far-anchor,5,0,0,75,55,line,24,C,0.0,0.0,True,non-anchor,aligned
2.88,62a6c39ce82d993784c0b352,24,78.0,20,2025-04-22 18:30:31.598,2287.0,23,far-from-aligned,near-anchor,2,5,2,25,7,pie,24,D,-3.0,3.0,False,non-anchor,unaligned
12.151,67d5b16b8a04206523e7deef,21,44.0,50,2025-04-22 18:30:24.767,1965.0,21,near-aligned,near-anchor,4,3,1,25,22,line,21,D,29.0,29.0,False,non-anchor,unaligned
5.223,67f000f4c3fca3956857de3c,22,36.0,30,2025-04-22 18:30:31.714,2053.0,23,near-aligned,near-anchor,2,1,2,75 and 100,76,pie,22,G,7.0,7.0,False,non-anchor,unaligned
4.364,62a6c39ce82d993784c0b352,24,79.0,24,2025-04-22 18:30:34.614,2288.0,28,far-from-aligned,near-anchor,3,5,2,100,67,line,24,D,-4.0,4.0,False,non-anchor,unaligned
13.762,67d4980ba4b5003b2e2797d6,23,8.0,45,2025-04-22 18:30:26.691,2121.0,51,near-aligned,far-anchor,1,4,1,25,29,pie,23,D,-6.0,6.0,False,non-anchor,unaligned
14.996,67e47d34f5a37200bfd58c77,10,75.0,26,2025-04-22 18:30:25.600,940.0,28,far-from-aligned,near-anchor,3,5,2,75,42,pie,10,B,-2.0,2.0,False,non-anchor,unaligned
3.021,62a6c39ce82d993784c0b352,24,80.0,30,2025-04-22 18:30:39.148,2289.0,35,near-aligned,far-anchor,10,4,0,75,36,pie,24,D,-5.0,5.0,False,non-anchor,unaligned
5.02,67f000f4c3fca3956857de3c,22,37.0,45,2025-04-22 18:30:37.322,2054.0,36,far-from-aligned,far-anchor,11,5,1,50,9,pie,22,D,9.0,9.0,False,non-anchor,unaligned
2.515,62a6c39ce82d993784c0b352,24,81.0,30,2025-04-22 18:30:42.288,2290.0,36,near-aligned,far-anchor,11,1,1,50,13,pie,24,D,-6.0,6.0,False,non-anchor,unaligned
5.717,67e47d34f5a37200bfd58c77,10,76.0,25,2025-04-22 18:30:40.919,941.0,25,aligned,anchor,0,0,0,0 and 25,0,line,10,C,0.0,0.0,True,anchor,aligned
2.779,62a6c39ce82d993784c0b352,24,82.0,50,2025-04-22 18:30:45.257,2291.0,50,far-from-aligned,anchor,0,8,0,50 and 100,42,pie,24,E,0.0,0.0,True,anchor,unaligned
6.764,67f000f4c3fca3956857de3c,22,38.0,58,2025-04-22 18:30:42.700,2055.0,43,aligned,far-anchor,7,0,2,100,57,pie,22,F,15.0,15.0,False,non-anchor,aligned
2.635,62a6c39ce82d993784c0b352,24,83.0,45,2025-04-22 18:30:48.198,2292.0,37,aligned,far-anchor,12,0,2,25,25,line,24,G,8.0,8.0,False,non-anchor,aligned
15.458,67d5b16b8a04206523e7deef,21,45.0,21,2025-04-22 18:30:37.338,1966.0,51,aligned,far-anchor,1,0,1,75,24,line,21,D,-30.0,30.0,False,non-anchor,aligned
16.876,67a72a2a346c08cd36e7860a,16,36.0,43,2025-04-22 18:30:37.291,1477.0,45,near-aligned,far-anchor,5,2,0,0,2,line,16,C,-2.0,2.0,False,non-anchor,unaligned
2.777,62a6c39ce82d993784c0b352,24,84.0,35,2025-04-22 18:30:51.983,2293.0,33,aligned,far-anchor,8,0,2,100,67,line,24,C,2.0,2.0,False,non-anchor,aligned
6.557,67f000f4c3fca3956857de3c,22,39.0,44,2025-04-22 18:30:49.860,2056.0,19,far-from-aligned,far-anchor,6,6,1,25,12,line,22,G,25.0,25.0,False,non-anchor,unaligned
3.602,62a6c39ce82d993784c0b352,24,85.0,38,2025-04-22 18:30:54.973,2294.0,37,far-from-aligned,far-anchor,12,5,2,100,58,pie,24,G,1.0,1.0,False,non-anchor,unaligned
7.472,67d5b16b8a04206523e7deef,21,46.0,21,2025-04-22 18:30:53.165,1967.0,21,near-aligned,near-anchor,4,1,1,0,1,line,21,C,0.0,0.0,True,non-anchor,unaligned
20.518,67d4980ba4b5003b2e2797d6,23,9.0,54,2025-04-22 18:30:41.116,2122.0,21,far-from-aligned,near-anchor,4,6,1,25,19,line,23,D,33.0,33.0,False,non-anchor,unaligned
7.237,67a72a2a346c08cd36e7860a,16,37.0,25,2025-04-22 18:30:54.426,1478.0,25,aligned,anchor,0,0,0,75 and 100,75,pie,16,B,0.0,0.0,True,anchor,aligned
3.623,62a6c39ce82d993784c0b352,24,86.0,28,2025-04-22 18:30:58.699,2295.0,25,near-aligned,anchor,0,2,0,0 and 25,2,line,24,F,3.0,3.0,False,anchor,unaligned
5.969,67f000f4c3fca3956857de3c,22,40.0,48,2025-04-22 18:30:56.765,2057.0,50,near-aligned,anchor,0,1,0,0 and 50,1,line,22,E,-2.0,2.0,False,anchor,unaligned
2.799,62a6c39ce82d993784c0b352,24,87.0,24,2025-04-22 18:31:02.426,2296.0,27,near-aligned,near-anchor,2,2,2,75,46,pie,24,B,-3.0,3.0,False,non-anchor,unaligned
5.142,67f000f4c3fca3956857de3c,22,41.0,56,2025-04-22 18:31:03.130,2058.0,28,near-aligned,near-anchor,3,1,2,25,24,line,22,F,28.0,28.0,False,non-anchor,unaligned
3.445,62a6c39ce82d993784c0b352,24,88.0,28,2025-04-22 18:31:05.333,2297.0,31,near-aligned,far-anchor,6,2,1,50,48,line,24,C,-3.0,3.0,False,non-anchor,unaligned
7.746,67d4980ba4b5003b2e2797d6,23,10.0,41,2025-04-22 18:31:02.312,2123.0,27,aligned,near-anchor,2,0,2,50,50,line,23,G,14.0,14.0,False,non-anchor,aligned
8.126,67a72a2a346c08cd36e7860a,16,38.0,21,2025-04-22 18:31:01.933,1479.0,23,near-aligned,near-anchor,2,2,2,75,54,line,16,E,-2.0,2.0,False,non-anchor,unaligned
5.374,67f000f4c3fca3956857de3c,22,42.0,54,2025-04-22 18:31:08.685,2059.0,33,far-from-aligned,far-anchor,8,8,2,25,33,line,22,D,21.0,21.0,False,non-anchor,unaligned
27.673,67e47d34f5a37200bfd58c77,10,77.0,27,2025-04-22 18:30:46.922,942.0,28,near-aligned,near-anchor,3,4,2,0,4,pie,10,F,-1.0,1.0,False,non-anchor,unaligned
6.27,62a6c39ce82d993784c0b352,24,89.0,25,2025-04-22 18:31:08.858,2298.0,27,far-from-aligned,near-anchor,2,9,2,100,64,line,24,F,-2.0,2.0,False,non-anchor,unaligned
3.88,62a6c39ce82d993784c0b352,24,90.0,28,2025-04-22 18:31:15.298,2299.0,31,far-from-aligned,far-anchor,6,6,1,0,6,line,24,D,-3.0,3.0,False,non-anchor,unaligned
5.634,67e47d34f5a37200bfd58c77,10,78.0,47,2025-04-22 18:31:14.874,943.0,47,aligned,near-anchor,3,0,2,0,0,pie,10,A,0.0,0.0,True,non-anchor,aligned
7.018,67f000f4c3fca3956857de3c,22,43.0,40,2025-04-22 18:31:14.425,2060.0,28,aligned,near-anchor,3,0,2,25,25,pie,22,C,12.0,12.0,False,non-anchor,aligned
13.401,67a72a2a346c08cd36e7860a,16,39.0,20,2025-04-22 18:31:10.323,1480.0,25,far-from-aligned,anchor,0,7,0,50 and 75,43,pie,16,A,-5.0,5.0,False,anchor,unaligned
4.672,62a6c39ce82d993784c0b352,24,91.0,60,2025-04-22 18:31:19.267,2300.0,51,near-aligned,far-anchor,1,2,1,100,47,line,24,G,9.0,9.0,False,non-anchor,unaligned
5.288,67f000f4c3fca3956857de3c,22,44.0,37,2025-04-22 18:31:22.211,2061.0,31,aligned,far-anchor,6,0,1,75,44,pie,22,A,6.0,6.0,False,non-anchor,aligned
5.624,62a6c39ce82d993784c0b352,24,92.0,65,2025-04-22 18:31:24.033,2301.0,51,far-from-aligned,far-anchor,1,7,1,75,17,pie,24,B,14.0,14.0,False,non-anchor,unaligned
19.379,67d4980ba4b5003b2e2797d6,23,11.0,40,2025-04-22 18:31:10.540,2124.0,29,aligned,near-anchor,4,0,1,50,21,pie,23,D,11.0,11.0,False,non-anchor,aligned
