"selectedPart","alignmentCategory","anchorCategory","anchorDistance","alignmentDistance","round5Distance","alignmentType","alignmentPosition","chartType","UID","selectedLabel","A","B","C","D","E","F","G","A_ind","B_ind","C_ind","D_ind","E_ind","F_ind","G_ind"
18,"near-aligned","far-anchor",7,4,2,"25",11,"line",26,"F",42,9,11,7,10,18,3,2,6,0,5,3,1,4
29,"aligned","near-anchor",4,0,1,"50",50,"line",26,"D",15,12,13,29,4,18,9,0,6,1,4,2,3,5
25,"far-from-aligned","anchor",0,8,0,"25 and 50",17,"pie",26,"A",25,17,4,26,12,6,10,1,0,6,3,4,2,5
33,"far-from-aligned","far-anchor",8,5,2,"100",62,"line",26,"G",29,12,5,6,12,3,33,1,4,6,3,2,0,5
18,"far-from-aligned","far-anchor",7,9,2,"25 and 25",16,"line",26,"E",6,14,2,31,18,16,13,6,5,2,3,1,0,4
22,"far-from-aligned","near-anchor",3,11,2,"50 and 50",39,"pie",26,"F",21,4,15,14,11,22,13,6,4,0,5,1,3,2
28,"far-from-aligned","near-anchor",3,6,2,"75",41,"line",26,"A",28,6,7,16,7,19,17,3,0,6,1,4,2,5
16,"near-aligned","far-anchor",9,3,1,"25",22,"pie",26,"F",19,15,13,3,27,16,7,1,3,5,0,4,2,6
28,"near-aligned","near-anchor",3,4,2,"75",43,"pie",26,"B",9,28,10,7,20,3,23,6,4,2,1,5,3,0
21,"near-aligned","near-anchor",4,4,1,"75",71,"line",26,"F",22,16,8,9,20,21,4,0,2,6,4,3,5,1
49,"aligned","near-anchor",1,0,1,"50",50,"pie",26,"D",4,12,1,49,11,13,10,3,1,6,5,0,2,4
30,"far-from-aligned","far-anchor",5,5,0,"25",30,"line",26,"A",30,24,8,14,18,4,2,3,0,5,6,4,1,2
31,"far-from-aligned","far-anchor",6,6,1,"25",31,"pie",26,"C",9,9,31,14,8,10,19,0,4,3,1,2,5,6
45,"far-from-aligned","far-anchor",5,8,0,"50",42,"line",26,"C",4,16,45,8,13,11,3,0,4,5,2,6,3,1
23,"near-aligned","near-anchor",2,3,2,"75",55,"pie",26,"G",13,9,9,15,18,13,23,3,2,5,0,1,6,4
23,"far-from-aligned","near-anchor",2,11,2,"25",14,"pie",26,"G",14,11,2,12,24,14,23,0,4,3,2,5,6,1
46,"far-from-aligned","near-anchor",4,10,1,"50",14,"pie",26,"B",2,46,10,3,25,2,12,6,2,3,4,5,0,1
25,"far-from-aligned","anchor",0,6,0,"25 and 50",19,"line",26,"D",6,14,5,25,12,7,31,5,0,1,2,6,4,3
50,"near-aligned","anchor",0,3,0,"50 and 100",47,"line",26,"G",3,3,3,2,7,32,50,6,3,2,1,4,0,5
21,"near-aligned","near-anchor",4,1,1,"0",1,"line",26,"B",4,21,1,16,34,8,16,5,1,0,3,4,2,6
23,"aligned","near-anchor",2,0,2,"25",2,"line",26,"G",27,13,15,4,2,16,23,5,3,6,2,0,4,1
31,"aligned","far-anchor",6,0,1,"50",19,"pie",26,"B",7,31,12,17,22,8,3,1,2,0,4,5,3,6
26,"far-from-aligned","near-anchor",1,9,1,"50",15,"line",26,"C",4,17,26,15,8,16,14,6,2,1,0,3,5,4
51,"aligned","far-anchor",1,0,1,"75",24,"line",26,"C",8,10,51,1,10,6,14,0,5,3,4,2,1,6
33,"near-aligned","far-anchor",8,3,2,"50",47,"line",26,"G",8,18,9,11,6,15,33,3,2,5,6,1,0,4
41,"near-aligned","far-anchor",9,1,1,"100",58,"line",26,"D",5,15,7,41,1,9,22,4,2,0,5,6,3,1
44,"aligned","far-anchor",6,0,1,"50",6,"line",26,"C",9,22,44,8,7,6,4,5,4,1,2,3,0,6
50,"near-aligned","anchor",0,1,0,"50 and 100",49,"pie",26,"E",1,5,8,8,50,10,18,6,4,1,2,5,3,0
22,"aligned","near-anchor",3,0,2,"75",75,"line",26,"A",22,3,23,23,3,15,11,5,6,4,0,2,3,1
38,"near-aligned","far-anchor",12,4,2,"100",58,"line",26,"F",14,15,4,6,14,38,9,0,1,6,4,3,5,2
25,"far-from-aligned","anchor",0,7,0,"25 and 50",18,"pie",26,"E",20,17,5,7,25,18,8,3,4,5,2,1,0,6
16,"far-from-aligned","far-anchor",9,5,1,"50",45,"line",26,"C",13,20,16,11,8,21,11,0,5,3,6,4,2,1
27,"near-aligned","near-anchor",2,4,2,"50",54,"pie",26,"B",11,27,14,8,17,3,20,6,4,1,5,0,3,2
53,"far-from-aligned","far-anchor",3,6,2,"25",31,"pie",26,"D",11,9,6,53,10,10,1,3,2,6,4,1,5,0
52,"far-from-aligned","far-anchor",2,10,2,"0",10,"pie",26,"D",10,2,5,52,13,10,8,3,2,5,1,4,0,6
55,"far-from-aligned","far-anchor",5,10,0,"25 and 100",35,"pie",26,"F",10,8,1,10,11,55,5,0,1,4,6,3,5,2
26,"far-from-aligned","near-anchor",1,11,1,"50",13,"line",27,"D",16,17,11,26,1,13,16,6,4,5,1,3,0,2
26,"far-from-aligned","near-anchor",1,8,1,"25",33,"pie",27,"C",10,8,26,6,17,7,26,2,6,3,0,1,4,5
40,"far-from-aligned","far-anchor",10,5,0,"25",20,"pie",27,"G",28,12,8,3,8,1,40,4,1,0,3,6,5,2
51,"far-from-aligned","far-anchor",1,7,1,"25",32,"line",27,"E",7,10,7,6,51,9,10,3,6,5,1,4,0,2
18,"aligned","far-anchor",7,0,2,"50",50,"line",27,"C",11,19,18,11,25,3,13,1,5,4,3,0,2,6
50,"near-aligned","anchor",0,4,0,"0 and 50",4,"pie",27,"B",3,50,14,17,4,7,5,5,1,3,6,0,4,2
25,"near-aligned","anchor",0,4,0,"75 and 100",71,"pie",27,"A",25,20,15,4,18,7,11,5,4,3,6,0,2,1
54,"far-from-aligned","far-anchor",4,10,1,"100",36,"line",27,"C",2,10,54,7,12,10,5,1,3,5,2,4,6,0
35,"far-from-aligned","far-anchor",10,5,0,"0",5,"pie",27,"D",7,3,14,35,5,9,27,5,4,2,1,0,6,3
25,"near-aligned","anchor",0,4,0,"0 and 25",4,"line",27,"D",4,2,16,25,4,17,32,6,4,2,1,0,3,5
47,"aligned","near-anchor",3,0,2,"25",25,"pie",27,"A",47,11,10,5,9,14,4,3,0,2,6,4,5,1
25,"far-from-aligned","anchor",0,10,0,"25 and 50",15,"pie",27,"A",25,1,16,18,11,14,15,1,2,4,5,6,3,0
17,"far-from-aligned","far-anchor",8,7,2,"75",68,"line",27,"B",4,17,15,27,18,17,2,4,5,6,3,2,0,1
33,"far-from-aligned","far-anchor",8,6,2,"25",31,"line",27,"E",4,13,9,4,33,14,23,1,2,6,4,3,0,5
39,"aligned","far-anchor",11,0,1,"0",0,"line",27,"G",14,19,7,8,7,6,39,5,6,1,3,2,4,0
20,"aligned","far-anchor",5,0,0,"25",5,"line",27,"G",24,21,5,7,8,15,20,3,6,0,2,4,5,1
32,"far-from-aligned","far-anchor",7,7,2,"50",11,"line",27,"D",12,11,10,32,7,9,19,5,0,4,1,2,6,3
32,"near-aligned","far-anchor",7,4,2,"0",4,"line",27,"A",32,10,12,23,9,4,10,1,5,4,2,3,0,6
24,"far-from-aligned","near-anchor",1,11,1,"25",14,"line",27,"B",7,24,14,21,3,10,21,3,1,0,6,4,5,2
44,"aligned","far-anchor",6,0,1,"50",50,"pie",27,"B",2,44,10,7,21,10,6,0,5,1,4,3,2,6
21,"aligned","near-anchor",4,0,1,"25",4,"line",27,"E",21,18,17,2,21,17,4,4,3,6,5,1,2,0
39,"aligned","far-anchor",11,0,1,"75",36,"pie",27,"C",8,6,39,10,11,11,15,2,3,4,6,1,0,5
25,"far-from-aligned","anchor",0,10,0,"0 and 25",10,"line",27,"B",12,25,24,10,22,2,5,5,1,4,0,3,2,6
38,"near-aligned","far-anchor",12,1,2,"25",24,"pie",27,"G",13,6,11,11,10,11,38,0,5,4,3,6,1,2
52,"near-aligned","far-anchor",2,1,2,"100",47,"pie",27,"E",6,20,8,5,52,8,1,0,1,3,4,5,2,6
25,"aligned","anchor",0,0,0,"25 and 50",25,"pie",27,"F",6,15,17,16,9,25,12,4,6,5,0,1,2,3
48,"near-aligned","near-anchor",2,3,2,"75",30,"pie",27,"F",10,10,8,12,10,48,2,2,6,0,1,5,3,4
30,"far-from-aligned","far-anchor",5,9,0,"25",34,"line",27,"D",2,7,13,30,7,27,14,6,5,0,3,2,4,1
48,"aligned","near-anchor",2,0,2,"50",2,"pie",27,"F",5,2,15,20,2,48,8,6,3,5,4,0,1,2
33,"aligned","far-anchor",8,0,2,"75",42,"pie",27,"G",9,13,6,14,21,4,33,0,2,3,1,5,6,4
26,"far-from-aligned","near-anchor",1,11,1,"25",36,"line",27,"E",7,14,15,13,26,14,11,2,6,1,5,3,0,4
28,"far-from-aligned","near-anchor",3,6,2,"0",6,"pie",27,"A",28,6,21,15,19,5,6,1,4,5,6,2,3,0
52,"far-from-aligned","far-anchor",2,9,2,"0",9,"line",27,"E",4,9,18,7,52,3,7,4,0,6,2,1,5,3
32,"near-aligned","far-anchor",7,4,2,"75",39,"pie",27,"E",7,16,2,16,32,20,7,6,1,5,2,3,4,0
19,"near-aligned","far-anchor",6,3,1,"50",47,"pie",27,"G",12,6,24,7,28,4,19,0,6,4,2,1,5,3
52,"far-from-aligned","far-anchor",2,9,2,"25",34,"line",27,"G",10,6,4,6,12,10,52,5,1,6,3,2,0,4
17,"near-aligned","far-anchor",8,1,2,"75",57,"pie",27,"C",7,17,17,24,10,9,16,0,6,4,2,3,5,1
54,"near-aligned","far-anchor",4,4,1,"75",17,"line",27,"G",10,8,7,10,2,9,54,5,4,0,1,3,6,2
30,"far-from-aligned","far-anchor",5,5,0,"25",30,"pie",27,"G",13,13,14,8,17,5,30,6,4,5,2,0,1,3
33,"far-from-aligned","far-anchor",8,6,2,"25",31,"pie",27,"G",12,8,19,8,11,9,33,2,0,6,4,1,5,3
21,"aligned","near-anchor",4,0,1,"25",25,"line",27,"A",21,11,15,11,14,20,8,2,3,6,1,0,5,4
29,"aligned","near-anchor",4,0,1,"50",21,"pie",27,"G",24,3,7,11,18,8,29,6,0,5,4,1,3,2
48,"near-aligned","near-anchor",2,3,2,"25",22,"pie",27,"F",9,8,9,5,15,48,6,2,0,6,1,4,3,5
18,"aligned","far-anchor",7,0,2,"75",75,"pie",27,"A",18,13,7,35,12,5,10,5,4,6,3,0,2,1
50,"far-from-aligned","anchor",0,7,0,"25 and 75",18,"line",27,"E",6,15,4,3,50,4,18,3,0,4,1,2,6,5
43,"near-aligned","far-anchor",7,2,2,"50",48,"pie",27,"D",9,14,13,43,6,6,9,6,4,2,5,1,0,3
19,"far-from-aligned","far-anchor",6,6,1,"75",62,"line",27,"B",18,19,4,19,6,16,18,4,5,3,6,0,1,2
55,"near-aligned","far-anchor",5,3,0,"75",17,"line",27,"B",9,55,8,2,9,16,1,1,2,0,3,6,5,4
15,"aligned","far-anchor",10,0,0,"75",60,"pie",27,"E",23,11,14,14,15,9,14,3,5,0,2,4,1,6
44,"aligned","far-anchor",6,0,1,"25",25,"line",27,"G",9,14,8,18,2,5,44,4,5,6,2,0,1,3
23,"far-from-aligned","near-anchor",2,8,2,"75",67,"line",27,"C",10,9,23,21,11,5,21,6,1,5,4,3,2,0
48,"far-from-aligned","near-anchor",2,11,2,"75",38,"line",27,"E",11,21,6,3,48,6,5,5,0,2,6,4,3,1
48,"near-aligned","near-anchor",2,4,2,"25",21,"pie",27,"G",11,10,21,5,3,2,48,1,0,6,3,5,4,2
55,"near-aligned","far-anchor",5,3,0,"0",3,"line",27,"F",7,4,3,16,7,55,8,2,3,0,6,5,1,4
21,"aligned","near-anchor",4,0,1,"50",29,"line",27,"G",7,6,13,15,22,16,21,6,3,1,4,5,0,2
25,"far-from-aligned","anchor",0,7,0,"50 and 75",43,"pie",27,"F",14,10,10,23,6,25,12,6,2,1,0,4,3,5
50,"aligned","anchor",0,0,0,"0 and 50",0,"pie",27,"D",10,15,2,50,12,6,5,2,1,3,0,4,6,5
33,"near-aligned","far-anchor",8,3,2,"100",64,"line",27,"G",14,7,27,5,3,11,33,2,3,1,4,6,0,5
21,"far-from-aligned","near-anchor",4,5,1,"25",20,"pie",27,"A",21,8,17,8,12,13,21,2,6,4,0,1,5,3
33,"aligned","far-anchor",8,0,2,"50",50,"line",27,"E",13,23,11,5,33,9,6,1,3,6,2,4,0,5
24,"near-aligned","near-anchor",1,2,1,"75",73,"pie",27,"B",16,24,14,12,8,23,3,4,5,2,3,0,1,6
39,"near-aligned","far-anchor",11,4,1,"100",57,"line",27,"F",12,11,13,4,14,39,7,4,1,0,6,2,5,3
30,"aligned","far-anchor",5,0,0,"75",45,"line",27,"C",19,8,30,12,21,6,4,6,0,4,3,1,5,2
50,"aligned","anchor",0,0,0,"50 and 100",50,"line",27,"B",4,50,17,2,10,4,13,0,6,2,1,3,5,4
32,"near-aligned","far-anchor",7,3,2,"50",47,"line",27,"B",13,32,11,8,13,14,9,6,4,0,5,2,1,3
46,"near-aligned","near-anchor",4,3,1,"75",32,"line",27,"E",6,5,16,6,46,11,10,1,3,5,6,4,0,2
53,"far-from-aligned","far-anchor",3,8,2,"25",33,"pie",27,"B",13,53,6,11,13,3,1,6,4,3,1,2,0,5
50,"aligned","anchor",0,0,0,"50 and 100",50,"line",27,"D",5,20,2,50,3,4,16,0,4,3,6,1,2,5
24,"aligned","near-anchor",1,0,1,"50",50,"line",27,"F",4,16,10,20,23,24,3,0,6,5,3,2,4,1
26,"aligned","near-anchor",1,0,1,"100",74,"pie",27,"F",11,8,8,14,13,26,20,4,5,0,2,1,6,3
29,"far-from-aligned","near-anchor",4,6,1,"25",31,"pie",27,"C",5,6,29,23,2,21,14,6,0,3,1,2,5,4
24,"aligned","near-anchor",1,0,1,"25",1,"pie",27,"A",24,1,15,6,9,12,33,1,0,6,4,5,2,3
33,"far-from-aligned","far-anchor",8,8,2,"75",34,"pie",27,"C",13,11,33,5,18,14,6,4,2,3,1,0,6,5
38,"far-from-aligned","far-anchor",12,6,2,"75",43,"pie",27,"E",17,2,7,10,38,7,19,6,5,1,0,4,3,2
28,"near-aligned","near-anchor",3,4,2,"75",43,"pie",27,"D",10,14,17,28,2,14,15,1,6,0,4,3,2,5
38,"near-aligned","far-anchor",12,1,2,"75",36,"pie",27,"G",15,8,13,13,8,5,38,1,0,2,4,5,6,3
39,"near-aligned","far-anchor",11,4,1,"50",46,"line",27,"D",4,15,7,39,19,6,10,1,6,3,5,4,0,2
48,"aligned","near-anchor",2,0,2,"0",0,"line",27,"B",7,48,1,20,11,5,8,6,0,1,5,3,4,2
26,"near-aligned","near-anchor",1,3,1,"0",3,"line",27,"C",23,3,26,19,3,13,13,6,3,1,5,0,4,2
26,"far-from-aligned","near-anchor",1,8,1,"75",41,"line",27,"F",15,25,4,12,4,26,14,1,4,6,0,5,3,2
27,"near-aligned","near-anchor",2,1,2,"25",26,"line",27,"D",12,7,21,27,9,7,17,6,5,4,2,1,3,0
54,"near-aligned","far-anchor",4,2,1,"100",44,"line",27,"A",54,2,18,8,1,15,2,5,2,4,1,3,0,6
49,"far-from-aligned","near-anchor",1,8,1,"25",17,"pie",27,"B",10,49,3,11,5,15,7,0,2,3,6,4,5,1
46,"near-aligned","near-anchor",4,2,1,"75",31,"line",27,"A",46,14,7,8,7,8,10,3,2,6,5,1,4,0
50,"near-aligned","anchor",0,3,0,"50 and 100",47,"line",27,"D",18,15,7,50,4,3,3,2,0,4,5,1,3,6
23,"near-aligned","near-anchor",2,4,2,"25",21,"line",27,"E",11,9,2,12,23,18,25,3,1,6,0,2,4,5
47,"far-from-aligned","near-anchor",3,11,2,"50 and 75",39,"pie",27,"B",8,47,10,4,10,15,6,5,4,2,1,0,3,6
51,"far-from-aligned","far-anchor",1,7,1,"25",32,"pie",27,"G",10,10,2,9,10,8,51,3,0,2,6,1,5,4
39,"near-aligned","far-anchor",11,3,1,"25",22,"pie",27,"E",28,6,3,10,39,2,12,5,3,6,1,2,4,0
32,"near-aligned","far-anchor",7,1,2,"75",42,"pie",27,"F",6,6,20,8,12,32,16,1,5,6,2,0,4,3
22,"far-from-aligned","near-anchor",3,10,2,"75",65,"pie",27,"B",8,22,11,6,24,13,16,3,5,2,0,4,6,1
48,"near-aligned","near-anchor",2,4,2,"50",6,"pie",27,"G",8,11,5,19,3,6,48,4,2,5,6,3,0,1
43,"aligned","far-anchor",7,0,2,"100",57,"pie",27,"B",8,43,2,7,8,16,16,0,6,5,1,3,4,2
21,"near-aligned","near-anchor",4,2,1,"50",48,"line",27,"A",21,3,11,28,7,10,20,4,5,2,6,0,3,1
51,"far-from-aligned","far-anchor",1,12,1,"25 and 100",37,"pie",27,"G",10,12,11,4,8,4,51,3,6,2,1,4,0,5
26,"far-from-aligned","near-anchor",1,5,1,"0",5,"line",27,"B",15,26,10,16,20,8,5,2,1,4,5,3,6,0
19,"far-from-aligned","far-anchor",6,5,1,"25",11,"line",28,"F",27,9,18,11,3,19,13,5,2,6,0,4,1,3
25,"aligned","anchor",0,0,0,"0 and 25",0,"line",28,"G",5,7,41,7,9,6,25,2,3,4,5,6,1,0
44,"aligned","far-anchor",6,0,1,"50",50,"pie",28,"E",15,12,6,6,44,13,4,0,2,3,6,5,1,4
27,"near-aligned","near-anchor",2,1,2,"25",26,"pie",28,"B",5,27,20,21,17,1,9,0,2,5,1,3,6,4
24,"near-aligned","near-anchor",1,1,1,"25",2,"line",28,"E",18,25,22,7,24,2,2,2,3,5,6,1,4,0
27,"near-aligned","near-anchor",2,1,2,"0",1,"pie",28,"E",14,17,26,1,27,11,4,3,6,2,0,1,4,5
29,"far-from-aligned","near-anchor",4,6,1,"50",15,"pie",28,"C",5,15,29,15,11,5,20,4,2,1,0,3,6,5
22,"far-from-aligned","near-anchor",3,10,2,"75",65,"pie",28,"E",7,16,16,18,22,13,8,0,4,2,3,5,6,1
18,"far-from-aligned","far-anchor",7,7,2,"50",39,"line",28,"B",15,18,11,26,7,21,2,4,3,2,0,5,6,1
26,"far-from-aligned","near-anchor",1,5,1,"0",5,"pie",28,"C",5,3,26,16,14,19,17,0,6,1,3,5,4,2
39,"near-aligned","far-anchor",11,1,1,"50",49,"line",28,"F",12,7,11,9,10,39,12,0,1,4,3,2,5,6
26,"far-from-aligned","near-anchor",1,6,1,"100",68,"pie",28,"D",4,19,6,26,9,13,23,0,1,6,5,4,2,3
51,"near-aligned","far-anchor",1,3,1,"0",3,"pie",28,"E",4,3,8,2,51,2,30,3,0,5,4,1,6,2
51,"far-from-aligned","far-anchor",1,8,1,"100",41,"line",28,"C",8,13,51,8,8,6,6,3,1,5,2,6,4,0
45,"far-from-aligned","far-anchor",5,7,0,"75",37,"pie",28,"C",13,5,45,6,6,12,13,6,5,4,2,1,3,0
24,"near-aligned","near-anchor",1,4,1,"75",71,"pie",28,"C",23,7,24,5,18,6,17,2,4,5,6,0,1,3
25,"far-from-aligned","anchor",0,9,0,"75 and 100",66,"pie",28,"A",25,9,28,4,13,4,17,5,6,0,1,3,2,4
25,"aligned","anchor",0,0,0,"25 and 50",25,"line",28,"E",11,1,14,14,25,22,13,0,3,1,6,2,5,4
51,"aligned","far-anchor",1,0,1,"75",24,"line",28,"G",14,13,5,4,7,6,51,2,5,6,1,4,0,3
42,"aligned","far-anchor",8,0,2,"50",8,"line",28,"A",42,2,20,8,6,9,13,1,2,6,0,5,3,4
19,"near-aligned","far-anchor",6,1,1,"50",49,"line",28,"C",21,11,19,3,11,14,21,2,6,4,1,0,3,5
26,"near-aligned","near-anchor",1,2,1,"50",22,"line",28,"C",19,7,26,12,3,10,23,6,5,2,1,3,0,4
35,"far-from-aligned","far-anchor",10,7,0,"25",32,"pie",28,"E",4,13,10,20,35,9,9,4,1,0,6,3,5,2
43,"far-from-aligned","far-anchor",7,6,2,"50",13,"pie",28,"C",14,6,43,14,6,13,4,2,4,1,3,5,0,6
16,"aligned","far-anchor",9,0,1,"100",84,"pie",28,"C",4,17,16,12,10,29,12,2,3,6,1,5,4,0
32,"near-aligned","far-anchor",7,3,2,"50",15,"line",28,"F",15,2,15,12,11,32,13,2,5,0,3,6,1,4
20,"near-aligned","far-anchor",5,2,0,"0",2,"pie",28,"A",20,15,2,20,9,11,23,1,5,0,4,6,2,3
30,"far-from-aligned","far-anchor",5,5,0,"75",40,"line",28,"E",24,10,6,21,30,3,6,2,1,6,5,3,4,0
20,"near-aligned","far-anchor",5,4,0,"50",46,"line",28,"E",15,17,4,27,20,5,12,2,5,1,0,3,6,4
25,"far-from-aligned","anchor",0,6,0,"25 and 50",19,"pie",28,"F",12,16,14,3,25,25,5,3,4,0,6,5,2,1
26,"aligned","near-anchor",1,0,1,"75",49,"pie",28,"E",12,4,16,17,26,12,13,2,1,3,0,4,6,5
55,"near-aligned","far-anchor",5,2,0,"25",23,"pie",28,"F",6,2,4,10,12,55,11,4,1,6,2,5,3,0
33,"aligned","far-anchor",8,0,2,"50",50,"line",28,"B",9,33,3,16,14,11,14,2,4,6,1,0,3,5
25,"near-aligned","anchor",0,2,0,"50 and 75",48,"pie",28,"F",15,12,6,10,19,25,13,6,5,3,1,2,4,0
47,"near-aligned","near-anchor",3,3,2,"75",31,"line",28,"A",47,16,8,6,8,6,9,4,5,2,3,1,6,0
25,"aligned","anchor",0,0,0,"25 and 50",25,"pie",28,"E",9,9,19,12,25,16,10,6,1,4,3,2,0,5
19,"near-aligned","far-anchor",6,1,1,"75",55,"line",28,"F",23,16,3,14,14,19,11,5,1,6,2,0,4,3
19,"far-from-aligned","far-anchor",6,6,1,"75",69,"pie",28,"C",1,13,19,18,12,17,20,2,1,5,4,6,3,0
15,"aligned","far-anchor",10,0,0,"0",0,"pie",28,"D",11,16,9,15,32,8,9,5,6,3,0,1,2,4
45,"far-from-aligned","far-anchor",5,9,0,"25",16,"line",28,"C",9,5,45,15,7,7,12,0,3,2,6,5,1,4
16,"near-aligned","far-anchor",9,1,1,"100",83,"pie",28,"D",17,24,19,16,1,1,22,1,2,0,5,6,3,4
25,"far-from-aligned","anchor",0,8,0,"75 and 100",67,"line",28,"E",8,8,4,16,25,12,27,6,2,0,3,5,4,1
28,"far-from-aligned","near-anchor",3,10,2,"25",35,"pie",28,"B",6,28,21,5,8,19,13,0,3,1,4,2,5,6
44,"near-aligned","far-anchor",6,2,1,"75",29,"pie",28,"F",3,14,9,12,2,44,16,2,1,5,0,4,3,6
42,"aligned","far-anchor",8,0,2,"50",50,"pie",28,"E",3,8,15,19,42,8,5,2,4,0,1,5,6,3
27,"near-aligned","near-anchor",2,4,2,"100",69,"line",28,"B",20,27,15,5,21,8,4,2,5,3,1,4,0,6
21,"near-aligned","near-anchor",4,2,1,"50 and 75",52,"line",28,"F",4,23,13,24,11,21,4,6,5,1,3,0,4,2
33,"far-from-aligned","far-anchor",8,6,2,"100",61,"pie",28,"B",4,33,2,6,22,10,23,1,5,4,6,3,0,2
35,"far-from-aligned","far-anchor",10,6,0,"50",56,"line",28,"F",19,9,6,9,12,35,10,1,2,4,6,0,5,3
21,"far-from-aligned","near-anchor",4,9,1,"25",13,"line",28,"G",13,10,18,29,8,1,21,0,2,5,6,3,4,1
23,"aligned","near-anchor",2,0,2,"75",75,"line",28,"B",13,23,11,5,2,17,29,3,5,0,2,6,1,4
46,"near-aligned","near-anchor",4,2,1,"0 and 50",2,"line",28,"F",14,2,2,8,20,46,8,5,2,0,4,6,1,3
16,"far-from-aligned","far-anchor",9,6,1,"50",40,"line",28,"C",20,9,16,12,10,19,14,5,2,3,0,6,1,4
18,"near-aligned","far-anchor",7,3,2,"75",72,"line",28,"E",9,17,19,10,18,10,17,4,0,1,3,5,6,2
51,"far-from-aligned","far-anchor",1,12,1,"0 and 75",12,"line",28,"B",7,51,3,5,9,12,13,3,1,6,5,4,0,2
24,"far-from-aligned","near-anchor",1,11,1,"25",14,"pie",28,"E",7,14,24,3,24,5,23,4,0,3,6,1,2,5
29,"far-from-aligned","near-anchor",4,6,1,"100",65,"line",28,"B",3,29,7,10,26,19,6,1,5,0,2,4,3,6
49,"aligned","near-anchor",1,0,1,"25",25,"pie",28,"G",7,14,10,9,4,7,49,1,0,5,6,2,4,3
46,"aligned","near-anchor",4,0,1,"25",25,"line",28,"E",7,14,9,1,46,9,14,2,5,0,4,3,1,6
49,"far-from-aligned","near-anchor",1,8,1,"75",34,"line",28,"C",10,9,49,8,10,8,6,2,5,4,3,0,6,1
46,"aligned","near-anchor",4,0,1,"25",25,"pie",28,"D",10,10,9,46,4,10,11,5,6,4,3,2,1,0
39,"near-aligned","far-anchor",11,1,1,"0",1,"pie",28,"A",39,8,21,7,17,1,7,1,3,5,2,6,0,4
33,"near-aligned","far-anchor",8,4,2,"50",13,"line",28,"E",11,20,13,6,33,10,7,5,3,0,2,1,4,6
50,"near-aligned","anchor",0,1,0,"50 and 100",49,"pie",28,"E",7,16,4,1,50,3,19,0,1,4,6,5,3,2
25,"near-aligned","anchor",0,1,0,"50 and 75",49,"line",28,"E",16,21,10,2,25,11,15,5,2,6,1,4,3,0
37,"far-from-aligned","far-anchor",12,5,2,"75",33,"line",28,"D",17,7,12,37,8,14,5,5,2,0,3,6,1,4
46,"aligned","near-anchor",4,0,1,"100",54,"line",28,"F",15,9,6,10,8,46,6,1,3,0,5,4,6,2
26,"far-from-aligned","near-anchor",1,5,1,"100",69,"line",28,"C",21,9,26,28,3,5,8,1,0,5,3,4,6,2
48,"aligned","near-anchor",2,0,2,"0",0,"line",28,"F",2,6,8,12,14,48,10,3,5,4,2,1,0,6
27,"near-aligned","near-anchor",2,2,2,"50",21,"pie",28,"F",7,11,17,4,9,27,25,4,5,0,1,3,2,6
18,"aligned","far-anchor",7,0,2,"75",75,"pie",28,"A",18,7,16,14,34,4,7,5,4,2,0,1,3,6
25,"far-from-aligned","anchor",0,10,0,"25 and 50",15,"line",28,"B",8,25,8,7,12,15,25,3,1,2,6,4,0,5
24,"aligned","near-anchor",1,0,1,"25",25,"line",28,"E",11,10,11,14,24,12,18,6,3,0,1,2,4,5
33,"aligned","far-anchor",8,0,2,"0",0,"line",28,"E",8,29,12,4,33,9,5,4,3,6,1,0,5,2
49,"far-from-aligned","near-anchor",1,11,1,"75",37,"line",28,"D",10,6,6,49,11,10,8,1,0,6,4,3,2,5
25,"aligned","anchor",0,0,0,"75 and 100",75,"pie",28,"B",13,25,10,11,12,24,5,5,6,2,1,0,4,3
24,"near-aligned","near-anchor",1,3,1,"25",4,"pie",28,"C",16,4,24,12,15,9,20,3,0,1,4,5,6,2
19,"near-aligned","far-anchor",6,1,1,"25",5,"pie",28,"F",14,21,5,16,14,19,11,4,2,0,5,6,1,3
24,"far-from-aligned","near-anchor",1,9,1,"75",66,"line",28,"E",7,15,10,5,24,29,10,1,0,6,3,5,2,4
55,"far-from-aligned","far-anchor",5,8,0,"25",33,"pie",28,"F",15,8,6,4,3,55,9,2,1,0,3,5,4,6
21,"far-from-aligned","near-anchor",4,7,1,"50",36,"pie",28,"B",5,21,16,9,18,18,13,1,3,5,4,6,2,0
49,"aligned","near-anchor",1,0,1,"0",0,"pie",28,"B",11,49,7,2,10,2,19,6,0,3,5,4,1,2
16,"aligned","far-anchor",9,0,1,"0",0,"line",28,"B",12,16,3,40,3,12,14,3,0,6,1,4,5,2
36,"far-from-aligned","far-anchor",11,5,1,"25",20,"pie",28,"A",36,15,12,9,7,8,13,2,6,4,3,0,5,1
21,"far-from-aligned","near-anchor",4,10,1,"50",39,"line",28,"A",21,6,19,9,6,14,25,3,2,1,4,5,0,6
23,"aligned","near-anchor",2,0,2,"0",0,"pie",28,"B",5,23,5,12,7,19,29,1,0,6,3,2,4,5
50,"near-aligned","anchor",0,3,0,"50 and 100",47,"line",28,"D",6,8,12,50,3,3,18,0,4,1,5,6,2,3
